削除された単語一覧（frequency=0 = コーパスに未出現）
削除件数: 53,409 件
==================================================

-冊	-サツ
-方	-ホウ
-様	-サマ
-氏	-シ
-番目	-バンメ
-風	-カゼ
1/4マイル	1/4マイル
100万命令毎秒	100マンメイレイマイビヨウ
100倍に	100バイニ
100分率	100ブンリツ
10倍に	10バイニ
11の	11ノ
11人の	11ニンノ
11個の	11コノ
11月5日	11ガツ5ニチ
12の	12ノ
12人の	12ニンノ
12個の	12コノ
13の	13ノ
13人の	13ニンノ
13個の	13コノ
14の	14ノ
14人の	14ニンノ
14個の	14コノ
14歳の	14トシノ
1530年代	1530ネンダイ
15の	15ノ
15人の	15ニンノ
15個の	15コノ
15分間	15フンカン
15歳の	15トシノ
16の	16ノ
16人の	16ニンノ
16個の	16コノ
16歳で	16トシデ
1750年代	1750ネンダイ
1760年代	1760ネンダイ
1770年代	1770ネンダイ
1780年代	1780ネンダイ
1790年代	1790ネンダイ
1820年代	1820ネンダイ
1830年代	1830ネンダイ
1840年代	1840ネンダイ
1850年代	1850ネンダイ
1860年代	1860ネンダイ
1870年代	1870ネンダイ
1880年代	1880ネンダイ
1890年代	1890ネンダイ
18の	18ノ
18人の	18ニンノ
18個の	18コノ
1900年代	1900ネンダイ
1920年代	1920ネンダイ
1930年代	1930ネンダイ
1940年代	1940ネンダイ
1950年代	1950ネンダイ
1960年代	1960ネンダイ
1970年代	1970ネンダイ
1980年代	1980ネンダイ
1990年代	1990ネンダイ
1つだけの	1ツダケノ
1ダースの	1ダースノ
1人当たりの	1ニンアタリノ
1価関数	1アタイカンスウ
1平方マイル	1ヘイホウマイル
1時間ごとの	1ジカンゴトノ
1月19日	1ガツ19ニチ
1月1日	1ガツ1ニチ
1月6日	1ガツ6ニチ
1番	1バン
1皿分	1サラフン
1節	1フシ
2世	2ヨ
2乗	2ジヨウ
2倍に	2バイニ
2塁手	2ルイテ
2塁打	2ルイダ
2塁打を打つ	2ルイダヲウツ
2月12日	2ガツ12ニチ
2月14日	2ガツ14ニチ
2月22日	2ガツ22ニチ
2月29日	2ガツ29ニチ
2階に	2カイニ
2階へ	2カイヘ
2階建てバス	2カイダテテバス
2階建バス	2カイダテバス
30分	30フン
3倍に	3バイニ
3塁	3ルイ
3塁打を打つ	3ルイダヲウツ
3寸	3スン
3月25日	3ガツ25ニチ
3月2日	3ガツ2ニチ
3次元レーダー	3ジゲンレーダー
3脚	3アシ
3色テレビ受像管	3イロテレビジユゾウカン
3色受像管	3イロジユゾウカン
3行広告	3ユキヒロコク
3角	3カク
3重に	3オモニ
3重協奏曲	3ジユウキヨウソウキヨク
40歳代	40トシダイ
4つ切	4ツセツ
4つ切り	4ツキリ
4つ割	4ツワリ
4つ割り	4ツワリ
4つ脚	4ツアシ
4つ足	4ツアシ
4倍に	4バイニ
4分1	4フン1
4切り	4キリ
4割り	4ワリ
4半分	4ハンブン
4月14日	4ガツ14ニチ
4重に	4オモニ
6月14日	6ガツ14ニチ
6月21日	6ガツ21ニチ
6月23日	6ガツ23ニチ
6月29日	6ガツ29ニチ
6月3日	6ガツ3ニチ
6月中旬	6ガツチユウジユン
7月1日	7ガツ1ニチ
8月1日	8ガツ1ニチ
8月6日	8ガツ6ニチ
9の	9ノ
9人の	9ニンノ
9個の	9コノ
9月11日	9ガツ11ニチ
9月17日	9ガツ17ニチ
9月29日	9ガツ29ニチ
ANDゲート	ANDゲート
AND回路	ANDカイロ
ASCII文字	ASCIIモジ
Aクラス	Aクラス
Aチーム	Aチーム
Aライン	Aライン
CDドライブ	CDドライブ
CDロム	CDロム
CRT画面	CRTガメン
Cコンパイラ	Cコンパイラ
Cコンパイラー	Cコンパイラー
Cプログラム	Cプログラム
E-メイル	E-メイル
E-メール	E-メール
EORゲート	EORゲート
EOR回路	EORカイロ
EPロム	EPロム
Eメイル	Eメイル
Eメール	Eメール
FORTRANコンパイラ	FORTRANコンパイラ
FORTRANコンパイラー	FORTRANコンパイラー
FORTRANプログラム	FORTRANプログラム
Fナンバー	Fナンバー
Iビーム	Iビーム
KKK団	KKKダン
LISPコンパイラ	LISPコンパイラ
LISPコンパイラー	LISPコンパイラー
LP盤	LPバン
NANDゲート	NANDゲート
NAND回路	NANDカイロ
ORゲート	ORゲート
OR回路	ORカイロ
PCアクセサリー	PCアクセサリー
PCボード	PCボード
Pascalコンパイラ	Pascalコンパイラ
Pascalコンパイラー	Pascalコンパイラー
RAMディスク	RAMデイスク
SPAM送信	SPAMソウシン
SPレコード	SPレコード
SP盤	SPバン
Tシャツ	Tシヤツ
UNIXオペレーティングシステム	UNIXオペレーテイングシステム
UNIXシステム	UNIXシステム
Unixオペレーティングシステム	Unixオペレーテイングシステム
Unixシステム	Unixシステム
XORゲート	XORゲート
XOR回路	XORカイロ
X線療法	Xセンリヨウホウ
X脚	Xアシ
Yシャツ	Yシヤツ
abo式血液型	aboシキケツエキガタ
ascii文字	asciiモジ
b.b.キング	b.b.キング
